epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,824.078,1.13428,0.34234,0.90685,0.79647,0.61306,0.69656,0.46596,1.19091,0.33119,0.96839,0.000297081,0.000297081,0.000297081
113,830.151,1.00642,0.31718,0.90818,0.79647,0.61306,0.69656,0.46596,1.19091,0.33119,0.96839,0.000289749,0.000289749,0.000289749
114,836.739,1.13826,0.33711,0.91862,0.72773,0.62844,0.68509,0.45355,1.26698,0.34058,0.98651,0.000282416,0.000282416,0.000282416
115,843.364,1.05354,0.30564,0.89647,0.72773,0.62844,0.68509,0.45355,1.26698,0.34058,0.98651,0.000275084,0.000275084,0.000275084
116,858.745,1.13789,0.31658,0.89282,0.81669,0.60881,0.70146,0.46388,1.27779,0.33589,0.98821,0.000267751,0.000267751,0.000267751
117,865.1,0.95308,0.27961,0.88898,0.81669,0.60881,0.70146,0.46388,1.27779,0.33589,0.98821,0.000260418,0.000260418,0.000260418
118,871.351,1.06694,0.33976,0.89779,0.71332,0.68947,0.71156,0.46711,1.27926,0.33159,0.98773,0.000253086,0.000253086,0.000253086
119,878.018,1.2082,0.34739,0.90547,0.71332,0.68947,0.71156,0.46711,1.27926,0.33159,0.98773,0.000245753,0.000245753,0.000245753
120,884.37,1.10397,0.33648,0.90709,0.71332,0.68947,0.71156,0.46711,1.27926,0.33159,0.98773,0.000238421,0.000238421,0.000238421
121,890.459,1.03336,0.30837,0.91543,0.76591,0.60487,0.6749,0.45577,1.26868,0.35037,0.98263,0.000231088,0.000231088,0.000231088
122,896.987,1.06972,0.37422,0.9021,0.76591,0.60487,0.6749,0.45577,1.26868,0.35037,0.98263,0.000223755,0.000223755,0.000223755
123,903.368,1.11609,0.33477,0.87856,0.79994,0.60903,0.69131,0.47298,1.22915,0.33506,0.97134,0.000216423,0.000216423,0.000216423
124,909.645,0.97424,0.30745,0.91057,0.79994,0.60903,0.69131,0.47298,1.22915,0.33506,0.97134,0.00020909,0.00020909,0.00020909
125,915.717,0.97416,0.28818,0.91735,0.79994,0.60903,0.69131,0.47298,1.22915,0.33506,0.97134,0.000201758,0.000201758,0.000201758
126,922.001,0.98027,0.29467,0.89368,0.73499,0.62754,0.68577,0.46072,1.2786,0.3427,0.98085,0.000194425,0.000194425,0.000194425
127,928.198,1.02149,0.30548,0.91651,0.73499,0.62754,0.68577,0.46072,1.2786,0.3427,0.98085,0.000187092,0.000187092,0.000187092
128,934.45,1.02426,0.29419,0.89197,0.76414,0.63411,0.69678,0.4663,1.28201,0.33803,0.98111,0.00017976,0.00017976,0.00017976
129,940.742,1.05029,0.31021,0.90152,0.76414,0.63411,0.69678,0.4663,1.28201,0.33803,0.98111,0.000172427,0.000172427,0.000172427
130,946.925,1.01249,0.30545,0.89344,0.76414,0.63411,0.69678,0.4663,1.28201,0.33803,0.98111,0.000165095,0.000165095,0.000165095
131,953.291,1.0913,0.31674,0.89982,0.75257,0.65069,0.68605,0.45302,1.3089,0.34266,0.98528,0.000157762,0.000157762,0.000157762
132,959.736,1.01712,0.31179,0.89897,0.75257,0.65069,0.68605,0.45302,1.3089,0.34266,0.98528,0.000150429,0.000150429,0.000150429
133,966.209,1.0543,0.31827,0.89526,0.75935,0.65248,0.70069,0.4677,1.26827,0.33422,0.97611,0.000143097,0.000143097,0.000143097
134,972.78,1.11426,0.30252,0.89423,0.75935,0.65248,0.70069,0.4677,1.26827,0.33422,0.97611,0.000135764,0.000135764,0.000135764
135,978.96,1.0595,0.32837,0.89968,0.75935,0.65248,0.70069,0.4677,1.26827,0.33422,0.97611,0.000128432,0.000128432,0.000128432
136,997.679,1.15241,0.33644,0.88142,0.76104,0.63842,0.69187,0.46599,1.22014,0.33387,0.96674,0.000121099,0.000121099,0.000121099
137,1003.81,0.96056,0.30813,0.89333,0.76104,0.63842,0.69187,0.46599,1.22014,0.33387,0.96674,0.000113766,0.000113766,0.000113766
138,1010.28,1.10291,0.31194,0.89285,0.81413,0.60841,0.68197,0.47043,1.18147,0.32677,0.95495,0.000106434,0.000106434,0.000106434
139,1016.77,1.1217,0.36426,0.90905,0.81413,0.60841,0.68197,0.47043,1.18147,0.32677,0.95495,9.91012e-05,9.91012e-05,9.91012e-05
140,1023.24,1.11288,0.32469,0.87136,0.81413,0.60841,0.68197,0.47043,1.18147,0.32677,0.95495,9.17686e-05,9.17686e-05,9.17686e-05
141,1028.56,1.07631,0.36683,0.89201,0.75306,0.63192,0.6784,0.48023,1.13755,0.33878,0.9531,8.4436e-05,8.4436e-05,8.4436e-05
142,1034.01,1.19531,0.38589,0.90299,0.75306,0.63192,0.6784,0.48023,1.13755,0.33878,0.9531,7.71034e-05,7.71034e-05,7.71034e-05
143,1039.46,1.12216,0.3587,0.90129,0.8395,0.59136,0.67102,0.48473,1.11171,0.34911,0.94753,6.97708e-05,6.97708e-05,6.97708e-05
144,1044.84,1.14218,0.38091,0.89,0.8395,0.59136,0.67102,0.48473,1.11171,0.34911,0.94753,6.24382e-05,6.24382e-05,6.24382e-05
145,1050.22,1.08938,0.34066,0.89133,0.8395,0.59136,0.67102,0.48473,1.11171,0.34911,0.94753,5.51056e-05,5.51056e-05,5.51056e-05
146,1055.66,1.14643,0.43103,0.90099,0.82816,0.56897,0.65131,0.46862,1.14365,0.34706,0.95068,4.7773e-05,4.7773e-05,4.7773e-05
147,1061.02,1.01806,0.37582,0.88717,0.82816,0.56897,0.65131,0.46862,1.14365,0.34706,0.95068,4.04404e-05,4.04404e-05,4.04404e-05
148,1066.42,1.18472,0.40274,0.8933,0.82207,0.57737,0.64716,0.46694,1.15237,0.35344,0.95784,3.31078e-05,3.31078e-05,3.31078e-05
149,1071.78,1.15411,0.39563,0.90717,0.82207,0.57737,0.64716,0.46694,1.15237,0.35344,0.95784,2.57752e-05,2.57752e-05,2.57752e-05
150,1077.22,1.17794,0.51113,0.89006,0.83268,0.5846,0.6653,0.47274,1.17293,0.35651,0.96273,1.84426e-05,1.84426e-05,1.84426e-05
